group,file,src,n,entropy,coverage,complete_turns,turns_cw,turns_ccw,net_turns,filter_mode,keep
1surface,/mnt/disk1/rec_results_v3/1surface/rec100_ORI_V4_FIRST30_MASK_20260727_122043/hdMetrics_20260727_122043.mat,/mnt/disk1/rec_results_v3/1surface/rec100_ORI_V4_FIRST30_MASK_20260727_122043/rec100_sf_7d_tf_video085DLC_Resnet50_TAIL_V2Apr15shuffle2_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,464412,0.678585953769993,0.472222222222222,1,0,1,1.26765373995929,complete_turns,1
1surface,/mnt/disk1/rec_results_v3/1surface/rec102_ORI_V4_FIRST30_MASK_20260727_131513/hdMetrics_20260727_131513.mat,/mnt/disk1/rec_results_v3/1surface/rec102_ORI_V4_FIRST30_MASK_20260727_131513/rec102_sf_7d_tf_video093DLC_Resnet50_TAIL_V2Apr15shuffle2_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,464160,0.850707929309757,0.805555555555556,1,1,0,-1.84301396443593,complete_turns,1
1surface,/mnt/disk1/rec_results_v3/1surface/rec107_ORI_V4_FIRST30_MASK_20260729_200839/hdMetrics_20260729_200839.mat,/mnt/disk1/rec_results_v3/1surface/rec107_ORI_V4_FIRST30_MASK_20260729_200839/rec107_sf_7d_tf_video097DLC_Resnet50_TAIL_V2Apr15shuffle2_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,464366,0.887608911351289,0.916666666666667,2,2,0,-2.7759809566081,complete_turns,1
1surface,/mnt/disk1/rec_results_v3/1surface/rec128_ORI_V4_FIRST30_MASK_20260727_103833/hdMetrics_20260727_103833.mat,/mnt/disk1/rec_results_v3/1surface/rec128_ORI_V4_FIRST30_MASK_20260727_103833/rec128_sf_tf_7d_video124DLC_Resnet50_TAIL_V2Apr15shuffle2_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,464386,0.616677302437476,0.694444444444444,1,1,0,-1.07313975081393,complete_turns,1
1surface,/mnt/disk1/rec_results_v3/1surface/rec130_ORI_V4_FIRST30_MASK_20260723_183810/hdMetrics_20260723_183810.mat,/mnt/disk1/rec_results_v3/1surface/rec130_ORI_V4_FIRST30_MASK_20260723_183810/rec130_sf_tf_7d_video126DLC_Resnet50_TAIL_V2Apr15shuffle2_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,463946,0.885279257761098,0.972222222222222,5,3,2,-1.73421201218698,complete_turns,1
1surface,/mnt/disk1/rec_results_v3/1surface/rec131_ORI_V4_FIRST30_MASK_20260723_184009/hdMetrics_20260723_184009.mat,/mnt/disk1/rec_results_v3/1surface/rec131_ORI_V4_FIRST30_MASK_20260723_184009/rec131_sf_tf_1_shock_10d_video135DLC_Resnet50_TAIL_V2Apr15shuffle2_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,913855,0.968219732622552,1,9,9,0,-9.16604867300279,complete_turns,1
1surface,/mnt/disk1/rec_results_v3/1surface/rec132_ORI_V4_FIRST30_MASK_20260727_104342/hdMetrics_20260727_104342.mat,/mnt/disk1/rec_results_v3/1surface/rec132_ORI_V4_FIRST30_MASK_20260727_104342/rec132_sf_tf_1_shock_10d_video136DLC_Resnet50_TAIL_V2Apr15shuffle2_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,914283,0.962336252065485,1,8,8,0,-8.50633990647396,complete_turns,1
1surface,/mnt/disk1/rec_results_v3/1surface/rec134_ORI_V4_FIRST30_MASK_20260723_184239/hdMetrics_20260723_184239.mat,/mnt/disk1/rec_results_v3/1surface/rec134_ORI_V4_FIRST30_MASK_20260723_184239/rec134_sf_tf_1_shock_10d_video138DLC_Resnet50_TAIL_V2Apr15shuffle2_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,877922,0.943210108743413,1,4,2,2,0.170696476167869,complete_turns,1
1surface,/mnt/disk1/rec_results_v3/1surface/rec144_ORI_V4_FIRST30_MASK_20260729_194637/hdMetrics_20260729_194637.mat,/mnt/disk1/rec_results_v3/1surface/rec144_ORI_V4_FIRST30_MASK_20260729_194637/rec144_surface_video004DLC_Resnet50_TAIL_V2Apr15shuffle2_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,913956,0.879469832442635,0.972222222222222,1,1,0,-1.70522123867649,complete_turns,1
1surface,/mnt/disk1/rec_results_v3/1surface/rec34_ORI_V4_FIRST30_MASK_20260727_112833/hdMetrics_20260727_112833.mat,/mnt/disk1/rec_results_v3/1surface/rec34_ORI_V4_FIRST30_MASK_20260727_112833/rec34_sf_tf_6d_rec34_video020DLC_Resnet50_TAIL_V2Apr15shuffle1_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,464150,0.717185913004751,0.527777777777778,1,1,0,-1.02337887926996,complete_turns,1
1surface,/mnt/disk1/rec_results_v3/1surface/rec35_ORI_V4_FIRST30_MASK_20260724_102238/hdMetrics_20260724_102238.mat,/mnt/disk1/rec_results_v3/1surface/rec35_ORI_V4_FIRST30_MASK_20260724_102238/rec35_sf_tf_6d__rec35_video021DLC_Resnet50_TAIL_V2Apr15shuffle1_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,463440,0.815309966229636,0.861111111111111,3,3,0,-3.08927338944585,complete_turns,1
1surface,/mnt/disk1/rec_results_v3/1surface/rec48_ORI_V4_FIRST30_MASK_20260727_113716/hdMetrics_20260727_113716.mat,/mnt/disk1/rec_results_v3/1surface/rec48_ORI_V4_FIRST30_MASK_20260727_113716/rec48_sf_tf_7d_rec48_video049DLC_Resnet50_TAIL_V2Apr15shuffle1_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,464122,0.713952036527086,0.666666666666667,2,0,2,2.93516669904786,complete_turns,1
1surface,/mnt/disk1/rec_results_v3/1surface/rec53_ORI_V4_FIRST30_MASK_20260727_114429/hdMetrics_20260727_114429.mat,/mnt/disk1/rec_results_v3/1surface/rec53_ORI_V4_FIRST30_MASK_20260727_114429/rec53_sf_tf_9d_rec53_video009DLC_Resnet50_TAIL_V2Apr15shuffle1_snapshot_200_swimResults_pass2.mat :: pass2FileResult.heading_est,460206,0.599508733741259,0.444444444444444,1,0,1,1.28046480841552,complete_turns,1
